id,message_id,transaction_id,user_id,message_type,message_data,bet_amount,payout_amount,currency,game_name,game_id,house_edge,falcon_routing_key,falcon_exchange,falcon_queue,status,retry_count,last_retry_at,created_at,sent_at,acknowledged_at,error_message,error_code,falcon_response,reconciliation_status,reconciliation_notes
117ea826-2b04-4006-abaf-33628faba1f0,falcon_casino_txn_result_001_1764602685494069459,txn_result_001,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 5.26, ""type"": ""casino"", ""active"": false, ""amount"": 5, ""bet_id"": ""txn_result_001"", ""payout"": 5, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""TucanBIT-GrooveTech"", ""username"": ""ashenafi_alemu"", ""game_name"": ""American Roulette"", ""provider_type"": ""casino"", ""payout_multiplier"": 0, ""bet_placed_unix_timestamp"": 1764602685}",5.00000000,5.00000000,USD,American Roulette,"",5.260000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-01 15:24:45.494597,2025-12-01 15:24:45.505685,,,,"",pending,""
890c19c1-70a8-4c2b-aa69-c8f5ace5af83,falcon_casino_result_tx_1765287480_1765287530715006409,result_tx_1765287480,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 1.06, ""type"": ""casino"", ""active"": false, ""amount"": 15, ""bet_id"": ""result_tx_1765287480"", ""payout"": 15, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""TucanBIT-GrooveTech"", ""username"": ""ashenafi_alemu"", ""game_name"": ""Free Bet Blackjack 8"", ""provider_type"": ""casino"", ""payout_multiplier"": 0, ""bet_placed_unix_timestamp"": 1765287530}",15.00000000,15.00000000,USD,Free Bet Blackjack 8,"",1.060000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-09 13:38:50.715818,2025-12-09 13:38:50.728684,,,,"",pending,""
2a230574-e1c1-49e7-96ee-b752e15927b9,falcon_casino_result_tx__1_1765290525685930315,result_tx__1,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 1.06, ""type"": ""casino"", ""active"": false, ""amount"": 20, ""bet_id"": ""result_tx__1"", ""payout"": 20, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""TucanBIT-GrooveTech"", ""username"": ""ashenafi_alemu"", ""game_name"": ""Free Bet Blackjack 8"", ""provider_type"": ""casino"", ""payout_multiplier"": 0, ""bet_placed_unix_timestamp"": 1765290525}",20.00000000,20.00000000,USD,Free Bet Blackjack 8,"",1.060000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-09 14:28:45.686701,2025-12-09 14:28:45.693291,,,,"",pending,""
cbbda538-9cb3-4ebf-8af7-346b6627b12d,falcon_casino_result_tx__1_1765290601820344555,result_tx__1,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 0.05, ""type"": ""casino"", ""active"": false, ""amount"": 20, ""bet_id"": ""result_tx__1"", ""payout"": 20, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""TucanBIT-GrooveTech"", ""username"": ""ashenafi_alemu"", ""game_name"": ""Game shows"", ""provider_type"": ""casino"", ""payout_multiplier"": 0, ""bet_placed_unix_timestamp"": 1765290601}",20.00000000,20.00000000,USD,Game shows,"",0.050000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-09 14:30:01.820457,2025-12-09 14:30:01.823098,,,,"",pending,""
a60f1dcd-723e-4ea5-a307-93a3ffb9d321,falcon_casino_result_tx__2_1765290655622387212,result_tx__2,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 0.05, ""type"": ""casino"", ""active"": false, ""amount"": 20, ""bet_id"": ""result_tx__2"", ""payout"": 20, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""TucanBIT-GrooveTech"", ""username"": ""ashenafi_alemu"", ""game_name"": ""Game shows"", ""provider_type"": ""casino"", ""payout_multiplier"": 0, ""bet_placed_unix_timestamp"": 1765290655}",20.00000000,20.00000000,USD,Game shows,"",0.050000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-09 14:30:55.622561,2025-12-09 14:30:55.626102,,,,"",pending,""
352cae8c-d0ec-452e-9906-6c64ba8c5903,falcon_casino_result_tx_1765290700_1_1765290752086763045,result_tx_1765290700_1,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 0.05, ""type"": ""casino"", ""active"": false, ""amount"": 20, ""bet_id"": ""result_tx_1765290700_1"", ""payout"": 20, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""TucanBIT-GrooveTech"", ""username"": ""ashenafi_alemu"", ""game_name"": ""Game shows"", ""provider_type"": ""casino"", ""payout_multiplier"": 0, ""bet_placed_unix_timestamp"": 1765290752}",20.00000000,20.00000000,USD,Game shows,"",0.050000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-09 14:32:32.086928,2025-12-09 14:32:32.094887,,,,"",pending,""
207ddee8-86cf-4e57-b84e-0df59ce904e3,falcon_casino_result_2_1765320898_1914_1765320899193840719,result_2_1765320898_1914,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 4.55, ""type"": ""casino"", ""active"": false, ""amount"": 1, ""bet_id"": ""result_2_1765320898_1914"", ""payout"": 2.5, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""Pragmatic Play"", ""username"": ""ashenafi_alemu"", ""game_name"": ""Sweet Bonanza™"", ""provider_type"": ""casino"", ""payout_multiplier"": 2.5, ""bet_placed_unix_timestamp"": 1765320899}",1.00000000,2.50000000,USD,Sweet Bonanza™,"",4.550000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-09 22:54:59.19464,2025-12-09 22:54:59.208407,,,,"",pending,""
50cd73e9-ed67-4a18-8fc4-30ef7f594232,falcon_casino_result_3_1765320899_3805_1765320899806853972,result_3_1765320899_3805,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 4.55, ""type"": ""casino"", ""active"": false, ""amount"": 1, ""bet_id"": ""result_3_1765320899_3805"", ""payout"": 2.5, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""Pragmatic Play"", ""username"": ""ashenafi_alemu"", ""game_name"": ""Sweet Bonanza™"", ""provider_type"": ""casino"", ""payout_multiplier"": 2.5, ""bet_placed_unix_timestamp"": 1765320899}",1.00000000,2.50000000,USD,Sweet Bonanza™,"",4.550000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-09 22:54:59.807133,2025-12-09 22:54:59.809606,,,,"",pending,""
4e92d936-1657-4de8-8b43-685e0ef6f9db,falcon_casino_result_4_1765320899_25726_1765320900568325044,result_4_1765320899_25726,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 4.55, ""type"": ""casino"", ""active"": false, ""amount"": 1, ""bet_id"": ""result_4_1765320899_25726"", ""payout"": 2.5, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""Pragmatic Play"", ""username"": ""ashenafi_alemu"", ""game_name"": ""Sweet Bonanza™"", ""provider_type"": ""casino"", ""payout_multiplier"": 2.5, ""bet_placed_unix_timestamp"": 1765320900}",1.00000000,2.50000000,USD,Sweet Bonanza™,"",4.550000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-09 22:55:00.568395,2025-12-09 22:55:00.573095,,,,"",pending,""
dd67a5db-479f-49f8-8ed2-383d59456d7e,falcon_casino_result_5_1765320900_11389_1765320901101780327,result_5_1765320900_11389,0b4e6e14-bfcb-4c37-8a38-fb3b8462c608,casino,"{""edge"": 4.55, ""type"": ""casino"", ""active"": false, ""amount"": 1, ""bet_id"": ""result_5_1765320900_11389"", ""payout"": 0, ""status"": ""settled"", ""user_id"": ""0b4e6e14-bfcb-4c37-8a38-fb3b8462c608"", ""currency"": ""USD"", ""metadata"": {""client_name"": ""tucanbit""}, ""provider"": ""Pragmatic Play"", ""username"": ""ashenafi_alemu"", ""game_name"": ""Sweet Bonanza™"", ""provider_type"": ""casino"", ""payout_multiplier"": 0, ""bet_placed_unix_timestamp"": 1765320901}",1.00000000,0.00000000,USD,Sweet Bonanza™,"",4.550000,client.acme,falcon_liquidity,client_acme_queue,sent,0,,2025-12-09 22:55:01.101849,2025-12-09 22:55:01.104644,,,,"",pending,""
