id,name,status,timestamp,photo,price,enabled,game_id,internal_name,integration_partner,provider
f027ddbe-ad6f-48d9-961d-076f18c813f9,Sweet Bonanza 1000,ACTIVE,2025-10-08 22:52:30.706047,,,t,158000658,Sweet Bonanza 1000,groovetech,Pragmatic Play
e31709b1-0862-4595-b5e8-09f6133e2911,"",ACTIVE,2025-10-08 22:52:30.597044,,,t,137000427,Salon Privé Baccarat D,groovetech,""
a416d335-2db3-4d57-993a-46ef7418162e,"",ACTIVE,2025-10-08 22:52:30.639384,,,t,158000041,Dance Party™,groovetech,""
f6a829b1-cb53-4cc9-a5c7-011ef538d050,"",ACTIVE,2025-10-08 22:52:30.679099,,,t,158000441,Mochimon,groovetech,""
06c1946f-0a2a-4b14-b5ae-f2f4d607b2e3,"",ACTIVE,2025-10-08 22:52:30.72711,,,t,158000842,BlackjackX 32,groovetech,""
02a9f1e3-68eb-4189-964f-af4bb6d5fbc0,"",ACTIVE,2025-10-08 22:52:30.734799,,,t,158000903,Blackjack 115,groovetech,""
89c4d6c9-912e-4970-94ed-dc49c8ecb087,"",ACTIVE,2025-10-08 22:52:30.798926,,,t,226000100,Demon,groovetech,""
65f4fd32-bf1a-4cde-8735-672f3f6b91ae,"",ACTIVE,2025-10-08 22:52:30.876663,,,t,226000281,Saxon,groovetech,""
9125ad7f-813f-4628-9d5b-1ae7ad3fa23e,"",ACTIVE,2025-10-08 22:52:30.885611,,,t,226000338,Tower Quest,groovetech,""
3e67c4f8-7e5c-45ff-87da-e9234300ceaf,"",ACTIVE,2025-10-08 22:52:30.500659,,,t,130300000,American Roulette,groovetech,""
47fde629-a29d-4f8c-904d-583acb244462,Sweet Bonanza,ACTIVE,2025-10-08 20:42:40.638941,,,f,82695,sweet_bonanza,groovetech,Pragmatic Play
5c86d8f8-ab1f-43ea-8dbd-75c9f1825ad3,"",ACTIVE,2025-10-08 22:52:30.50224,,,t,130300002,Aztec Magic Deluxe,groovetech,""
696efaf1-c4e2-4053-918d-994ec22d5aad,"",ACTIVE,2025-10-08 22:52:30.502529,,,t,130300004,Multihand Blackjack Pro,groovetech,""
8cbac108-0755-4122-bf38-f04b510ef633,"",ACTIVE,2025-10-08 22:52:30.502787,,,t,130300007,Book of Pyramids,groovetech,""
fc50c27f-02b8-4506-b71f-e660f147426c,"",ACTIVE,2025-10-08 22:52:30.503044,,,t,130300017,European Roulette,groovetech,""
0fdc1369-6560-492f-b2a9-853ccfeeb60d,"",ACTIVE,2025-10-08 22:52:30.503334,,,t,130300019,Fire Lightning,groovetech,""
3beb5f37-d870-4623-91ba-30363e94ffc9,"",ACTIVE,2025-10-08 22:52:30.503614,,,t,130300020,French Roulette,groovetech,""
a24f8a82-7011-40ef-936e-2b95e219a1ef,"",ACTIVE,2025-10-08 22:52:30.503937,,,t,130300022,Heads and Tails,groovetech,""
fde1b569-cc01-4a3b-885a-c650596a521f,"",ACTIVE,2025-10-08 22:52:30.504331,,,t,130300026,Jogo Do Bicho,groovetech,""
450ee9de-0050-4a18-b74a-5cadb8fd9a15,"",ACTIVE,2025-10-08 22:52:30.504671,,,t,130300029,Lucky Lady's Clover,groovetech,""
aa99df8f-b60c-4f54-83ca-436d77d1a06d,"",ACTIVE,2025-10-08 22:52:30.504964,,,t,130300032,Minesweeper,groovetech,""
485b041c-7806-4097-88f2-078f318ec6e0,"",ACTIVE,2025-10-08 22:52:30.505517,,,t,130300033,Multihand Blackjack,groovetech,""
622b4b6f-4e51-4f14-8d77-fbae16e1416c,"",ACTIVE,2025-10-08 22:52:30.505861,,,t,130300036,Platinum Lightning,groovetech,""
73533ad5-4a05-48d2-96c6-b95c59bcee0e,"",ACTIVE,2025-10-08 22:52:30.506203,,,t,130300040,Rocket Dice,groovetech,""
